IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.213.172,4,4,0.00,166.62,28.87
104.16.26.87,4,4,0.00,166.33,28.79
104.17.90.175,4,4,0.00,166.37,28.76
104.17.10.147,4,4,0.00,168.40,28.19
104.17.124.196,4,4,0.00,166.95,28.07
104.17.59.108,4,4,0.00,165.41,28.03
104.17.143.146,4,4,0.00,166.28,28.02
104.16.234.58,4,4,0.00,168.19,27.92
104.17.41.27,4,4,0.00,168.51,27.76
104.17.89.60,4,4,0.00,167.74,27.35
104.17.164.242,4,4,0.00,165.74,27.20
104.16.104.195,4,4,0.00,166.00,27.18
104.17.212.123,4,4,0.00,167.69,27.14
104.17.214.122,4,4,0.00,166.88,27.11
104.17.182.45,4,4,0.00,166.68,26.95
104.16.230.119,4,4,0.00,166.57,26.93
104.17.103.91,4,4,0.00,165.50,26.71
104.17.33.224,4,4,0.00,166.73,26.65
104.17.151.141,4,4,0.00,167.99,26.00
104.17.100.65,4,4,0.00,167.41,25.95
104.17.49.241,4,4,0.00,167.20,25.88
104.16.150.165,4,4,0.00,168.51,25.63
104.17.157.57,4,4,0.00,166.93,25.58
104.17.154.129,4,4,0.00,167.98,25.39
104.16.54.194,4,4,0.00,167.41,24.80
104.16.241.150,4,4,0.00,166.46,24.30
104.17.185.209,4,4,0.00,165.26,24.16
104.17.129.191,4,4,0.00,167.78,22.78
104.16.93.79,4,4,0.00,165.38,16.67
104.26.10.205,4,4,0.00,101.18,6.64
162.159.138.149,4,4,0.00,102.26,5.87
172.67.79.16,4,4,0.00,102.20,5.78
104.26.9.205,4,4,0.00,104.09,5.38
172.67.75.26,4,4,0.00,102.41,3.81
104.26.11.18,4,4,0.00,102.75,1.85
172.67.76.247,4,4,0.00,102.50,1.72
162.159.140.120,4,4,0.00,101.16,1.47
172.67.74.90,4,4,0.00,101.53,1.42
104.20.19.9,4,4,0.00,116.86,1.25
162.159.137.49,4,4,0.00,103.12,1.22
172.67.73.196,4,4,0.00,101.27,1.11
104.26.7.225,4,4,0.00,101.27,0.98
162.159.152.147,4,4,0.00,102.19,0.83
162.159.141.132,4,4,0.00,103.32,0.78
172.67.71.126,4,4,0.00,101.79,0.78
172.67.67.160,4,4,0.00,103.35,0.77
104.26.15.157,4,4,0.00,102.81,0.77
104.20.17.181,4,4,0.00,117.84,0.59
172.67.68.129,4,4,0.00,105.31,0.00
104.26.1.159,4,4,0.00,108.06,0.00
104.26.5.254,4,4,0.00,105.27,0.00
162.159.143.98,4,4,0.00,110.20,0.00
162.159.129.89,4,4,0.00,110.44,0.00
162.159.135.21,4,4,0.00,111.27,0.00
162.159.134.166,4,4,0.00,107.73,0.00
162.159.153.239,4,4,0.00,107.72,0.00
162.159.128.141,4,4,0.00,118.07,0.00
104.20.30.170,4,4,0.00,119.31,0.00
104.20.18.246,4,4,0.00,121.02,0.00
104.20.31.179,4,4,0.00,121.60,0.00
104.20.16.24,4,4,0.00,122.13,0.00
104.20.24.186,4,4,0.00,122.93,0.00
104.20.27.196,4,4,0.00,123.80,0.00
104.20.28.229,4,4,0.00,123.83,0.00
104.20.29.135,4,4,0.00,123.97,0.00
104.20.26.133,4,4,0.00,124.27,0.00
104.20.23.236,4,4,0.00,124.40,0.00
104.16.32.220,4,4,0.00,164.02,0.00
104.17.43.233,4,4,0.00,164.05,0.00
104.17.149.46,4,4,0.00,164.62,0.00
104.16.53.90,4,4,0.00,165.12,0.00
172.67.66.134,4,4,0.00,105.23,0.00
162.159.136.105,4,4,0.00,105.08,0.00
172.67.70.42,4,4,0.00,104.76,0.00
104.26.12.15,4,4,0.00,104.73,0.00
172.67.72.78,4,4,0.00,104.70,0.00
104.26.3.217,4,4,0.00,104.58,0.00
104.26.8.253,4,4,0.00,104.56,0.00
104.26.0.156,4,4,0.00,103.84,0.00
172.67.65.128,4,4,0.00,103.77,0.00
104.26.13.227,4,4,0.00,103.66,0.00
172.65.239.160,4,4,0.00,103.64,0.00
104.26.14.224,4,4,0.00,107.52,0.00
162.159.130.42,4,4,0.00,106.83,0.00
172.65.224.23,4,4,0.00,103.18,0.00
104.26.2.212,4,4,0.00,109.10,0.00
172.65.232.79,4,4,0.00,103.10,0.00
172.65.230.51,4,4,0.00,102.93,0.00
172.67.69.166,4,4,0.00,106.73,0.00
172.65.235.162,4,4,0.00,102.63,0.00
172.65.225.25,4,4,0.00,102.49,0.00
172.67.78.55,4,4,0.00,106.41,0.00
172.65.238.204,4,4,0.00,106.35,0.00
172.65.227.53,4,4,0.00,101.84,0.00
172.65.226.103,4,4,0.00,106.01,0.00
172.65.231.213,4,4,0.00,101.67,0.00
172.67.77.104,4,4,0.00,105.87,0.00
172.67.64.223,4,4,0.00,105.66,0.00
104.26.6.60,4,4,0.00,105.35,0.00
172.65.228.225,4,4,0.00,101.93,0.00
